epoch,train_loss,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1
1,0.172873,0.169697,0.9412,0.942717,0.1852,0.8988,0.8954
2,0.076160,0.151721,0.9588,0.959056,0.1623,0.9065,0.9080
